User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000008,P00220442,M,26-35,12,C,4+,1,5,14,,8584
1000010,P00186942,F,36-45,1,B,4+,1,5,12,,8770
1000018,P00044142,F,18-25,3,B,3,0,8,16,,5912
1000019,P00339542,M,0-17,10,A,3,0,1,,,19525
1000019,P00250642,M,0-17,10,A,3,0,11,,,4664
1000022,P00077042,M,18-25,15,A,4+,0,5,,,7177
1000023,P00032042,M,36-45,0,B,3,1,1,2,15,11887
1000026,P00101342,M,26-35,7,B,2,1,6,8,,16093
1000036,P00150542,M,26-35,3,B,0,0,5,,,7172
1000036,P00028442,M,26-35,3,B,0,0,1,8,16,15285
1000046,P00123142,M,18-25,19,C,4+,0,11,,,7614
1000048,P00288042,M,26-35,4,B,3,1,8,,,7781
1000048,P00103042,M,26-35,4,B,3,1,1,14,,15849
1000048,P00187842,M,26-35,4,B,3,1,1,16,,11430
1000048,P00324442,M,26-35,4,B,3,1,11,13,16,3101
1000048,P00041642,M,26-35,4,B,3,1,5,,,3694
1000049,P00350942,M,18-25,12,C,4+,1,3,4,5,10783
1000053,P00016542,M,26-35,0,B,1,0,1,6,16,11937
1000053,P00310142,M,26-35,0,B,1,0,5,15,,6931
1000053,P00302942,M,26-35,0,B,1,0,8,,,7796
1000053,P00026342,M,26-35,0,B,1,0,8,,,7820
1000059,P00317842,F,51-55,1,B,4+,1,8,,,8007
1000059,P00050242,F,51-55,1,B,4+,1,8,,,7864
1000062,P00119342,F,36-45,3,A,1,0,10,13,,23792
1000062,P00329742,F,36-45,3,A,1,0,6,16,,12422
1000062,P00326642,F,36-45,3,A,1,0,8,,,7766
1000062,P00336142,F,36-45,3,A,1,0,5,12,,5284
1000065,P00289942,M,36-45,12,C,2,1,3,4,5,13253
1000065,P00177942,M,36-45,12,C,2,1,5,8,,7053
1000071,P00115942,M,26-35,14,A,0,1,8,17,,7908
1000074,P00350042,M,36-45,14,A,2,1,6,8,,12409
1000075,P00137642,F,0-17,10,C,4+,0,3,4,12,11000
1000080,P00157542,M,55+,1,C,3,1,8,14,,9788
1000080,P00293242,M,55+,1,C,3,1,8,16,,9859
1000084,P00042242,M,18-25,4,C,1,0,5,15,,3497
1000090,P00051442,M,55+,13,C,1,0,8,17,,7824
1000090,P0097842,M,55+,13,C,1,0,5,,,6975
1000090,P00001942,M,55+,13,C,1,0,5,,,7178
1000091,P00220442,M,36-45,7,C,3,1,5,14,,8858
1000092,P00358242,F,18-25,4,B,1,0,8,,,5916
1000092,P0096542,F,18-25,4,B,1,0,3,4,12,5780
1000102,P00334242,M,36-45,19,C,3,0,1,8,,3829
1000105,P00269542,M,46-50,12,C,1,1,11,15,,6073
1000107,P00298242,M,46-50,18,C,4+,0,8,,,5823
1000117,P00180942,M,26-35,17,A,2,1,11,,,1474
1000118,P00194542,M,36-45,17,C,4+,0,8,14,,8081
1000118,P00355142,M,36-45,17,C,4+,0,1,15,,15651
1000118,P00191442,M,36-45,17,C,4+,0,1,2,15,15687
1000119,P00238542,F,0-17,10,C,1,0,5,14,,7088
1000123,P00279342,M,36-45,9,B,4+,1,5,14,,5314
1000123,P00278042,M,36-45,9,B,4+,1,1,,,15181
1000125,P00244642,M,46-50,14,B,3,1,11,,,4497
1000126,P00087042,M,18-25,9,B,1,0,10,14,16,23233
1000130,P00080342,M,36-45,17,B,3,1,1,6,8,15907
1000131,P00150742,M,18-25,4,C,4+,0,8,14,,5936
1000131,P00109342,M,18-25,4,C,4+,0,5,,,5418
1000131,P00192542,M,18-25,4,C,4+,0,1,2,9,7734
1000136,P00233342,M,18-25,2,B,3,0,1,15,16,4304
1000136,P00034842,M,18-25,2,B,3,0,5,14,,1754
1000136,P00189842,M,18-25,2,B,3,0,3,4,5,5596
1000136,P00051942,M,18-25,2,B,3,0,5,6,11,6901
1000136,P00321742,M,18-25,2,B,3,0,5,8,17,5228
1000142,P00025442,M,26-35,7,A,2,0,1,2,9,15212
1000145,P00214142,M,18-25,4,C,4+,0,8,,,9756
1000146,P00248942,F,36-45,20,B,3,1,1,6,14,15659
1000149,P00163842,M,26-35,1,B,2,1,8,,,6140
1000149,P00369742,M,26-35,1,B,2,1,5,,,8752
1000150,P00174442,M,36-45,7,B,0,1,5,,,8697
1000150,P00057742,M,36-45,7,B,0,1,2,8,18,16061
1000151,P00031442,F,26-35,20,A,1,1,5,8,,8575
1000151,P00148342,F,26-35,20,A,1,1,5,,,7159
1000152,P00159942,M,18-25,4,A,3,0,5,,,8744
1000155,P00053942,M,36-45,12,C,4+,1,1,2,5,7944
1000157,P00140042,M,36-45,16,A,1,0,1,16,,15544
1000161,P00112442,M,46-50,16,C,4+,1,6,8,,16272
1000162,P00004842,F,18-25,4,C,4+,0,3,4,12,5711
1000162,P00338442,F,18-25,4,C,4+,0,1,16,,11808
1000163,P00283942,M,18-25,4,A,1,0,5,,,3506
1000163,P00194642,M,18-25,4,A,1,0,1,6,13,8081
1000163,P00206442,M,18-25,4,A,1,0,1,5,9,3931
1000163,P00149542,M,18-25,4,A,1,0,1,6,13,4145
1000163,P00019142,M,18-25,4,A,1,0,11,15,,3068
1000163,P00137642,M,18-25,4,A,1,0,3,4,12,5697
1000166,P00111042,M,18-25,4,B,1,1,15,,,16856
1000166,P00028842,M,18-25,4,B,1,1,6,8,,15956
1000166,P00197342,M,18-25,4,B,1,1,1,2,,7924
1000166,P00031542,M,18-25,4,B,1,1,5,,,5346
1000169,P00119142,M,26-35,7,B,3,0,3,4,12,5423
1000169,P00176042,M,26-35,7,B,3,0,8,17,,6146
1000169,P00089442,M,26-35,7,B,3,0,8,,,7861
1000173,P00211942,M,26-35,0,B,1,1,8,,,9825
1000175,P00064042,F,26-35,2,B,1,0,3,4,12,10681
1000180,P00337942,M,46-50,12,C,4+,0,5,,,5444
1000181,P00284642,M,18-25,17,C,1,0,5,8,,3454
1000182,P00370242,M,18-25,4,C,0,0,5,,,8576
1000183,P00313542,F,46-50,1,B,1,1,5,8,,8690
1000187,P00317942,F,46-50,1,B,1,0,8,16,,8127
1000188,P00255842,M,55+,16,C,2,0,16,,,12379
1000188,P00307542,M,55+,16,C,2,0,1,15,,11916
1000195,P00182242,M,26-35,12,B,4+,1,1,5,6,15545
1000195,P00324942,M,26-35,12,B,4+,1,5,,,6875
1000198,P00277842,M,26-35,12,A,0,1,1,,,11692
1000202,P00041742,M,18-25,4,A,3,0,8,,,6071
1000205,P00112542,M,36-45,12,A,1,0,1,11,15,15735
1000205,P00313442,M,36-45,12,A,1,0,5,6,8,5256
1000206,P00285842,M,26-35,17,C,1,0,5,,,1961
1000210,P00129342,F,0-17,10,C,0,0,1,5,15,7582
1000211,P00332242,M,46-50,17,C,1,1,1,16,,19461
1000215,P00351342,M,36-45,14,C,1,1,1,2,16,15634
1000216,P00033342,M,46-50,13,B,1,0,5,14,,5161
1000216,P00101242,M,46-50,13,B,1,0,5,12,,3756
1000216,P00086442,M,46-50,13,B,1,0,8,13,15,9748
1000216,P00111042,M,46-50,13,B,1,0,15,,,17204
1000223,P00145042,M,26-35,17,B,4+,0,1,2,5,15851
1000223,P00136342,M,26-35,17,B,4+,0,4,5,,2098
1000225,P00242742,M,26-35,7,A,0,0,1,2,9,4293
1000225,P00121342,M,26-35,7,A,0,0,1,5,18,15826
1000225,P00304142,M,26-35,7,A,0,0,5,11,,5299
1000229,P00129542,M,18-25,10,C,1,0,8,14,,7774
1000230,P00140742,M,46-50,1,C,1,0,1,15,,15914
1000232,P00216342,M,26-35,20,A,1,1,3,4,5,10901
1000232,P00127942,M,26-35,20,A,1,1,1,2,5,11970
1000235,P00176942,M,26-35,0,B,0,0,5,,,7119
1000236,P00112142,M,26-35,5,B,2,0,1,2,14,19133
1000237,P00045342,M,26-35,6,C,1,1,1,5,17,11661
1000237,P00145842,M,26-35,6,C,1,1,4,5,,1460
1000238,P00026542,F,51-55,7,B,0,0,8,,,6041
1000238,P00184342,F,51-55,7,B,0,0,8,,,8039
1000238,P00155642,F,51-55,7,B,0,0,8,,,9871
1000242,P00147742,F,18-25,4,A,3,0,1,16,,11868
1000249,P00250242,F,18-25,14,C,2,0,5,,,8757
1000255,P00104842,M,36-45,0,C,1,1,8,,,8076
1000255,P00174142,M,36-45,0,C,1,1,3,4,9,10643
1000255,P00161542,M,36-45,0,C,1,1,2,15,16,13132
1000258,P00268342,M,26-35,7,C,0,1,5,,,5227
1000259,P00046742,M,26-35,1,B,4+,0,1,2,15,12044
1000260,P00298942,M,18-25,19,C,1,0,1,5,,19160
1000260,P00042542,M,18-25,19,C,1,0,1,5,,7764
1000261,P00111042,M,26-35,20,A,4+,0,15,,,20800
1000261,P00214442,M,26-35,20,A,4+,0,8,,,6179
1000264,P00001042,M,36-45,0,B,1,1,1,2,16,11376
1000268,P00129542,F,18-25,12,C,1,0,8,14,,8048
1000268,P00057442,F,18-25,12,C,1,0,5,14,16,8778
1000268,P00004642,F,18-25,12,C,1,0,8,14,,8124
1000268,P00158042,F,18-25,12,C,1,0,8,,,7999
1000268,P00143342,F,18-25,12,C,1,0,1,14,16,11845
1000268,P00282042,F,18-25,12,C,1,0,5,15,,5447
1000272,P00161542,M,18-25,0,A,1,0,2,15,16,6396
1000278,P00125142,M,46-50,18,C,4+,1,11,,,7531
1000279,P00359242,M,26-35,14,C,3,0,1,5,17,19052
1000285,P00319342,F,36-45,0,A,1,0,5,8,,8661
1000285,P00184442,F,36-45,0,A,1,0,1,6,8,3820
1000292,P00145442,M,36-45,7,C,0,1,8,15,,6101
1000293,P00155842,M,55+,1,C,1,1,8,,,9800
1000293,P00271142,M,55+,1,C,1,1,5,,,3444
1000293,P00255842,M,55+,1,C,1,1,16,,,16875
1000299,P00074342,M,26-35,12,C,4+,0,5,,,1762
1000301,P00331942,M,18-25,4,B,4+,0,5,,,8707
1000302,P00050142,M,18-25,4,B,4+,0,5,,,5200
1000302,P00362442,M,18-25,4,B,4+,0,5,,,3490
1000302,P00192742,M,18-25,4,B,4+,0,11,16,,2949
1000303,P00117742,M,26-35,7,C,1,1,8,,,9702
1000310,P00053042,F,18-25,4,C,1,0,5,14,16,5145
1000313,P00354442,F,18-25,4,A,4+,0,5,,,8867
1000314,P00111442,F,55+,9,C,1,0,8,,,9812
1000314,P00110142,F,55+,9,C,1,0,7,,,16635
1000321,P00139742,M,18-25,4,B,3,0,8,16,,8038
1000322,P00086042,M,55+,17,A,3,1,8,14,17,9982
1000326,P00303342,M,51-55,11,B,1,1,1,16,,15823
1000327,P00297542,M,36-45,18,C,4+,0,8,,,7874
1000329,P00169742,M,36-45,7,A,1,0,1,8,15,11987
1000329,P00072842,M,36-45,7,A,1,0,5,8,,1940
1000329,P00198242,M,36-45,7,A,1,0,2,4,9,3758
1000330,P00174842,M,55+,7,C,2,0,17,,,10366
1000331,P00214842,M,26-35,7,B,1,0,14,,,14934
1000331,P00002542,M,26-35,7,B,1,0,8,14,,9735
1000331,P00309342,M,26-35,7,B,1,0,16,,,16928
1000336,P00157542,M,18-25,0,C,4+,0,8,14,,6041
1000338,P00129042,M,36-45,7,A,1,0,1,11,,8048
